City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
88,Conroe,30.3119,-95.456,58.62,47,90,1.99,overcast clouds,US,2021-12-11 20:20:26
89,Nizwa,22.9333,57.5333,64.09,43,1,3.36,clear sky,OM,2021-12-11 20:20:26
90,Payakumbuh,-0.2202,100.6308,70.05,99,99,0.76,overcast clouds,ID,2021-12-11 20:20:26
91,Adelaide,-34.9333,138.6,69.42,49,0,4.61,clear sky,AU,2021-12-11 20:20:27
92,Poso,-1.3959,120.7524,77.31,85,99,3.76,overcast clouds,ID,2021-12-11 20:21:27
93,Inuvik,68.3499,-133.7218,-0.36,77,90,10.36,light snow,CA,2021-12-11 20:16:37
94,Saint George,37.1041,-113.5841,52.27,36,1,3.0,clear sky,US,2021-12-11 20:21:27
95,Coquimbo,-29.9533,-71.3436,67.73,59,0,13.8,clear sky,CL,2021-12-11 20:21:28
96,Avarua,-21.2078,-159.775,80.65,74,20,12.66,moderate rain,CK,2021-12-11 20:21:28
97,Ulladulla,-35.35,150.4667,58.87,82,9,8.03,clear sky,AU,2021-12-11 20:21:29
98,Ancud,-41.8697,-73.8203,54.93,75,44,20.07,light rain,CL,2021-12-11 20:21:29
99,Norman Wells,65.282,-126.8329,-2.16,71,90,14.97,light snow,CA,2021-12-11 20:18:21
100,Esperance,-33.8667,121.9,60.15,75,31,11.3,scattered clouds,AU,2021-12-11 20:21:29
101,Bengkulu,-3.8004,102.2655,74.97,94,100,5.7,overcast clouds,ID,2021-12-11 20:21:30
102,Atasu,48.6814,71.6433,16.21,85,98,4.45,overcast clouds,KZ,2021-12-11 20:21:31
103,Terra Rica,-22.7094,-52.6169,96.84,16,98,4.61,overcast clouds,BR,2021-12-11 20:21:31
104,Caravelas,-17.7125,-39.2481,79.27,76,32,7.02,scattered clouds,BR,2021-12-11 20:21:31
105,Nome,64.5011,-165.4064,-7.53,77,40,16.11,mist,US,2021-12-11 20:21:32
106,Barrow,71.2906,-156.7887,-2.18,78,1,10.36,clear sky,US,2021-12-11 20:21:32
107,Iwanai,42.9744,140.5089,40.6,79,99,6.04,overcast clouds,JP,2021-12-11 20:21:32
108,Jequitinhonha,-16.4339,-41.0033,78.51,93,29,2.93,scattered clouds,BR,2021-12-11 20:21:33
109,Lakes Entrance,-37.8811,147.981,54.16,85,96,5.7,overcast clouds,AU,2021-12-11 20:21:33
110,Surgut,61.25,73.4167,8.78,84,40,15.99,light shower snow,RU,2021-12-11 20:19:27
