City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Bertoua,CM,73.72,broken clouds,4.5833,13.6833,Hotel De Paris
637,Bowen,AU,73.62,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
639,Kapit,MY,73.58,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
641,Sombrio,BR,71.94,scattered clouds,-29.1139,-49.6167,Santa Rosa Do Sul
642,Antofagasta,CL,67.28,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
649,Yeppoon,AU,74.98,light rain,-23.1333,150.7333,Villa Mar Colina
653,Chiniot,PK,57.87,overcast clouds,31.72,72.9789,Khayyam Hotel & Restaurant Chiniot
655,Laguna,US,58.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
656,Aljezur,PT,57.81,clear sky,37.3191,-8.8033,Amazigh Hostel
659,Mehran,IR,54.88,clear sky,33.1222,46.1646,بوتیک زنانه بهار
668,Diplo,PK,61.77,broken clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
671,Sterling,US,69.66,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
672,Gobabis,,71.06,moderate rain,-22.45,18.9667,Goba Lodge
675,Turayf,SA,52.05,clear sky,31.6725,38.6637,Turaif
676,Henties Bay,,60.85,scattered clouds,-22.116,14.2845,Fishermans Guest House
680,Garowe,SO,71.87,few clouds,8.4054,48.4845,Curubo Hotel
683,Marawi,PH,66.65,broken clouds,7.9986,124.2928,Derogongan Residence
